danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.623,0.734,-5.95,0.107,0.0162,1.9e-06,0.145,0.372,107.853,76FZM38RC8XaAjJ77CVTNe,244453
0.722,0.851,-3.873,0.0639,0.0319,0.0,0.108,0.452,126.885,5yDL13y5giogKs2fSNf7sj,197936
0.688,0.734,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,2hns6Dv29Yrg68AVTJiAyA,208493
0.688,0.702,-4.792,0.0499,0.0215,0.0,0.128,0.74,94.006,3jomjC6H7YQBRr2CHPtc4y,192191
0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,0iGckQFyv6svOfAbAY9aWJ,220227
0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.464,90.03,4iJyoBOLtHqaGxP12qzhQI,198082
0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055,4E6cwWJWZw2zWf7VFbH7wf,258827
0.858,0.678,-3.87,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,188453
0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.494,123.907,30XU4suKzCeoCK9YFzdufg,260253
0.711,0.7,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,7EQGXaVSyEDsCWKmUcfpLk,211920
0.604,0.843,-3.932,0.1,0.036,6.22e-06,0.183,0.688,173.982,1I23ZdNcezc4N7QUc30rXx,144992
0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,214507
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,7BKLCZ1jbUBVqRi2FVlTVw,244960
0.65,0.736,-5.84,0.229,0.0513,0.0,0.235,0.612,159.174,44ONERBHALxftQNWq6dmyd,226160
0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,68EMU2RD1ECNeOeJ5qAXCV,217707
0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,4v0hWD4N6qefyFrmSGLjTV,210840
0.748,0.939,-4.288,0.0341,0.0534,0.0,0.32,0.96,104.001,1DSJNBNhGZCigg9ll5VeZv,198067
0.598,0.851,-4.245,0.12,0.0355,2.81e-05,0.365,0.612,202.046,0F2HPooQ20wUQxOOued2JV,203987
0.749,0.774,-6.221,0.12,0.0857,1.14e-05,0.11,0.35,99.019,1vYh9x8UmFTLbXiizk9Qc5,217533
0.332,0.667,-5.992,0.0456,0.0308,0.035,0.225,0.378,114.892,3OgZdIAHaDMOtYq8Z5iCQ5,220867
0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078,0cqRj7pUJDkTCEsJkx8snD,219200
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,247427
0.763,0.72,-5.181,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,4LihUZcWy0B6lGLqcJ8u9B,212000
0.523,0.748,-2.165,0.0395,0.226,0.0,0.27,0.329,84.954,365hbjh0wlAIGOfRW5hdZc,187776
0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,5cF0dROlMOK5uNZtivgu50,208787
0.866,0.813,-4.063,0.0554,0.38,0.0,0.0779,0.969,121.998,7JJmb5XwzOO8jgpou264Ml,199440
0.609,0.726,-4.346,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,33IOhptvC2Qoy2UhjiHXLV,195000
0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,5xEM5hIgJ1jjgcEBfpkt2F,244507
0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,2aibwv5hGXSgw7Yru8IYTO,334667
0.868,0.7,-6.408,0.1,0.0933,0.00685,0.0815,0.458,121.988,7b9WVKS9dt9OyRFAbGTP8P,194754
0.85,0.657,-7.078,0.166,0.14,0.0192,0.0939,0.843,137.971,3PqAnW2bB5TQnMoBivyFOb,265667
0.846,0.482,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969,7xYnUQigPoIDAMPVK79NEq,229867
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253
0.686,0.768,-8.433,0.45,0.214,0.0,0.159,0.742,88.521,1U3cpcozeXtwKR4LwV2GQH,164133
0.774,0.7,-7.983,0.15,0.043,0.0,0.132,0.435,123.006,66NM4endRHSnt6GpJ8sYA7,144390
0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,6Uy6K3KdmUdAfelUp0SeXn,220573
0.792,0.634,-6.566,0.0348,0.245,7.11e-06,0.136,0.322,99.989,6Sjl4KtCBxaJza3BTTXJE6,207612
0.65,0.91,-6.063,0.0824,0.115,0.0,0.0774,0.723,102.981,5HDc8F3bwidJ3sttWdN7qe,200620
0.702,0.572,-9.215,0.131,0.185,0.716,0.121,0.391,129.915,72zbIINeUzAtmfUiqVz8CU,149955
0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,60nZcImufyMA1MKQY3dcCH,232720
0.652,0.726,-7.122,0.372,0.0407,0.0,0.088,0.654,96.725,6PPg9af0HAPZ8uPZC83t7B,139968
0.801,0.685,-6.626,0.137,0.0666,0.0,0.142,0.818,116.093,4x6ZRroRcwXRVwWzlucMvF,163722
0.806,0.637,-7.391,0.166,0.0768,0.0,0.0975,0.852,116.052,7EorAin1mQPCr06NbK8GBH,172472
0.636,0.831,-3.945,0.182,0.0294,3.85e-06,0.272,0.668,175.015,2fTsFCKRFQ5M0igJgabnLA,223053
0.547,0.656,-8.619,0.162,0.0753,0.0,0.115,0.336,139.91,2hB0oClSdLweUS8togNnsD,114868
0.526,0.698,-8.841,0.0475,0.113,0.000369,0.0854,0.697,134.106,4M5DNOMCdSQwHlLPcBnlt8,218000
0.825,0.332,-14.729,0.765,0.119,0.0,0.16,0.19,163.916,1SfiDsFHqJnQoiN7cLaRz0,293878
0.674,0.432,-8.848,0.199,0.485,0.0,0.212,0.613,139.878,3VV8J6Zy11zsU4yBGroexd,114000
0.691,0.701,-5.534,0.075,0.00176,0.000196,0.109,0.227,140.016,5MNTDV1f25VARdFXDGfG4V,161607
0.725,0.735,-7.023,0.08,0.551,1.61e-06,0.0937,0.635,82.449,5QwUMTjMIbnjKL1ucRwLZ7,128168
0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326,1OutzYv6YiN93lrT3pJsWR,226053
0.706,0.71,-8.811,0.0535,0.00845,0.0,0.345,0.417,96.236,1tKdNx0ZsnFlf5h5e0if61,109063
0.796,0.525,-9.014,0.164,0.153,0.0118,0.0987,0.513,119.999,0gMN9wHGivtQnnzDtsbROY,143359
0.489,0.867,-3.121,0.071,0.025,0.0,0.586,0.409,162.131,3jZomvOBa5qfTo5HkqI1p5,157293
0.662,0.567,-8.899,0.0598,0.283,0.0,0.0855,0.233,160.019,6YLfI73bXtyZQx1KxI08PG,187020
0.87,0.365,-12.753,0.59,0.0712,7.12e-06,0.0923,0.184,139.895,38mNgoRMYSdg2n8Tt98R8L,111429
0.852,0.757,-4.165,0.144,0.0387,0.0,0.118,0.351,137.97,10XGXIxAjlEhAPdZKcYq66,118261
0.696,0.676,-5.697,0.117,0.196,0.0,0.215,0.611,170.137,0YJ9M4rHhaNWvaK5jFdYUw,140400
0.789,0.693,-9.263,0.262,0.483,7.79e-05,0.241,0.665,88.01,3tmpJN9fGVkrhlNkZVgH90,185455
0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134,0l0CvurVUrr2w3Jj1hOVFc,213507
0.627,0.747,-4.485,0.043,0.0231,0.0,0.108,0.738,95.045,59h3OsHU7JyeL4xiMF0Yti,146581
0.669,0.827,-5.669,0.0259,0.00661,0.0374,0.173,0.487,126.998,3ZcJ1HVEYYZ6BnEKli5OHQ,275079
0.747,0.937,-5.746,0.0453,0.0208,0.0,0.29,0.739,103.976,3bC1ahPIYt1btJzSSEyyrF,224653
0.731,0.601,-7.027,0.286,0.0469,0.0,0.0966,0.494,160.075,0DjPcxQ7xUsNyG7vSfWf3K,210233
